datetime,Date,TimeStamp,Open,High,Low,Close,Volume,average0,moving_average150,price_ref,Orders,Amounts,Modulators
2021-04-16 20:00:00,2021-04-16 20:00:00,1618617600000.0,61334.81,62506.05,59580.91,60006.66,58912.256128,60670.735,39762.9917,39762.9917,1.0,0.7924990998431903,0.07924990998431904
2021-04-17 20:00:00,2021-04-17 20:00:00,1618704000000.0,60006.67,60499.0,50931.3,56150.01,124882.131824,58078.34,40031.578733333336,40031.578733333336,1.0,1.0723366213766163,0.10723366213766164
2021-04-18 20:00:00,2021-04-18 20:00:00,1618790400000.0,56150.01,57526.81,54221.58,55633.14,78229.042267,55891.575,40282.66096666666,40282.66096666666,1.0,1.4016217204531856,0.14016217204531856
2021-04-19 20:00:00,2021-04-19 20:00:00,1618876800000.0,55633.14,57076.24,53329.96,56425.0,72744.482151,56029.07,40531.65656666667,40531.65656666667,1.0,1.4331301788797737,0.14331301788797737
2021-04-20 20:00:00,2021-04-20 20:00:00,1618963200000.0,56425.0,56757.91,53536.02,53787.63,66984.756909,55106.315,40775.30456666667,40775.30456666667,1.0,1.6412512105191048,0.1641251210519105
2021-04-21 20:00:00,2021-04-21 20:00:00,1619049600000.0,53787.62,55521.48,50500.0,51690.96,104656.631337,52739.29,41004.29356666667,41004.29356666667,1.0,2.208870890623938,0.22088708906239377
2021-04-22 20:00:00,2021-04-22 20:00:00,1619136000000.0,51690.95,52131.85,47500.0,51125.14,132230.780719,51408.045,41221.92046666667,41221.92046666667,1.0,2.6581702677264674,0.26581702677264674
2021-04-23 20:00:00,2021-04-23 20:00:00,1619222400000.0,51110.56,51166.22,48657.14,50047.84,55361.512573,50579.2,41432.85143333333,41432.85143333333,1.0,3.0216015934111433,0.30216015934111434
2021-04-24 20:00:00,2021-04-24 20:00:00,1619308800000.0,50047.84,50567.91,46930.0,49066.77,58255.645004,49557.30499999999,41643.67246666667,41643.67246666667,1.0,3.5208542523876245,0.35208542523876246
2021-04-25 20:00:00,2021-04-25 20:00:00,1619395200000.0,49066.76,54356.62,48753.44,54001.39,86310.802124,51534.075,41872.93633333333,41872.93633333333,1.0,2.8776209704769142,0.2877620970476914
2021-04-26 20:00:00,2021-04-26 20:00:00,1619481600000.0,54001.38,55460.0,53222.0,55011.97,54064.034675,54506.675,42120.116233333334,42120.116233333334,1.0,2.12931162474968,0.212931162474968
2021-04-27 20:00:00,2021-04-27 20:00:00,1619568000000.0,55011.97,56428.0,53813.16,54846.22,55130.459015,54929.095,42366.627433333335,42366.627433333335,1.0,2.1053713053582213,0.21053713053582213
2021-04-28 20:00:00,2021-04-28 20:00:00,1619654400000.0,54846.23,55195.84,52330.94,53555.0,52486.019455,54200.615000000005,42601.6953,42601.6953,1.0,2.3579576718265436,0.23579576718265435
2021-04-29 20:00:00,2021-04-29 20:00:00,1619740800000.0,53555.0,57963.0,53013.01,57694.27,68578.910045,55624.634999999995,42844.32343333333,42844.32343333333,1.0,2.0881259452166336,0.20881259452166334
2021-04-30 20:00:00,2021-04-30 20:00:00,1619827200000.0,57697.25,58458.07,56956.14,57800.37,42600.351836,57748.81,43102.752,43102.752,1.0,1.7289075130687186,0.17289075130687187
2021-05-01 20:00:00,2021-05-01 20:00:00,1619913600000.0,57797.35,57911.02,56035.25,56578.21,36812.878863,57187.78,43355.2506,43355.2506,1.0,1.8985882046656894,0.18985882046656893
2021-05-02 20:00:00,2021-05-02 20:00:00,1620000000000.0,56578.21,58981.44,56435.0,57169.39,57649.931286,56873.8,43607.49973333333,43607.49973333333,1.0,2.0318593521914297,0.20318593521914297
2021-05-03 20:00:00,2021-05-03 20:00:00,1620086400000.0,57169.39,57200.0,53046.69,53200.01,85324.625903,55184.7,43849.40383333334,43849.40383333334,1.0,2.516923660416835,0.2516923660416835
2021-05-04 20:00:00,2021-05-04 20:00:00,1620172800000.0,53205.05,58069.82,52900.0,57436.11,77263.923439,55320.58,44089.85083333333,44089.85083333333,1.0,2.5627806043784678,0.2562780604378468
2021-05-05 20:00:00,2021-05-05 20:00:00,1620259200000.0,57436.11,58360.0,55200.0,56393.68,70181.671908,56914.895000000004,44340.8649,44340.8649,1.0,2.2359872698396104,0.22359872698396102
2021-05-06 20:00:00,2021-05-06 20:00:00,1620345600000.0,56393.68,58650.0,55241.63,57314.75,74542.747829,56854.215,44594.922966666665,44594.922966666665,1.0,2.3288231164453412,0.23288231164453413
2021-05-07 20:00:00,2021-05-07 20:00:00,1620432000000.0,57315.49,59500.0,56900.0,58862.05,69709.906028,58088.770000000004,44859.2968,44859.2968,1.0,2.1211026422945016,0.21211026422945017
2021-05-08 20:00:00,2021-05-08 20:00:00,1620518400000.0,58866.53,59300.0,56235.66,58240.84,69806.11991,58553.685,45127.00163333333,45127.00163333333,1.0,2.0955280577571775,0.20955280577571775
2021-05-09 20:00:00,2021-05-09 20:00:00,1620604800000.0,58240.83,59500.0,53400.0,55816.14,89586.34925,57028.485,45386.2204,45386.2204,1.0,2.540932336381567,0.25409323363815667
2021-05-10 20:00:00,2021-05-10 20:00:00,1620691200000.0,55816.14,56862.43,54370.0,56670.02,64329.54055,56243.08,45638.35686666666,45638.35686666666,1.0,2.854732544491745,0.2854732544491745
2021-05-11 20:00:00,2021-05-11 20:00:00,1620777600000.0,56670.02,58000.01,48600.0,49631.32,99842.789836,53150.67,45866.0824,45866.0824,1.0,4.129499528190326,0.41294995281903263
2021-05-12 20:00:00,2021-05-12 20:00:00,1620864000000.0,49537.15,51367.19,46000.0,49670.97,147332.002121,49604.06,46068.6157,46068.6157,1.0,6.416934850874818,0.6416934850874818
2021-05-13 20:00:00,2021-05-13 20:00:00,1620950400000.0,49671.92,51483.0,48799.75,49841.45,80082.204306,49756.685,46271.32653333333,46271.32653333333,1.0,6.467896668907011,0.6467896668907012
2021-05-14 20:00:00,2021-05-14 20:00:00,1621036800000.0,49844.16,50700.0,46555.0,46762.99,89437.449359,48303.575,46457.4772,46457.4772,1.0,7.915130639198291,0.7915130639198291
2021-05-15 20:00:00,2021-05-15 20:00:00,1621123200000.0,46762.99,49795.89,43825.39,46431.5,114269.812775,46597.244999999995,46621.016566666665,46621.016566666665,1.0,10.030648041448352,1.0030648041448351
2021-05-16 20:00:00,2021-05-16 20:00:00,1621209600000.0,46426.83,46686.0,42001.0,43538.04,166657.172736,44982.435,46767.88433333333,46767.88433333333,1.0,12.63073364998464,1.263073364998464
2021-05-17 20:00:00,2021-05-17 20:00:00,1621296000000.0,43538.02,45799.29,42250.02,42849.78,116979.860784,43193.899999999994,46899.41366666667,46899.41366666667,1.0,16.385887484293136,1.6385887484293136
2021-05-18 20:00:00,2021-05-18 20:00:00,1621382400000.0,42849.78,43584.9,30000.0,36690.09,354347.243161,39769.935,47006.95616666666,47006.95616666666,1.0,27.26738528801497,2.726738528801497
2021-05-19 20:00:00,2021-05-19 20:00:00,1621468800000.0,36671.23,42451.67,34850.0,40526.64,203017.596923,38598.935,47110.3649,47110.3649,1.0,33.05573944895228,3.305573944895228
2021-05-20 20:00:00,2021-05-20 20:00:00,1621555200000.0,40525.39,42200.0,33488.0,37252.01,202100.888258,38888.7,47214.52066666667,47214.52066666667,1.0,32.02675643979409,3.202675643979409
